reviews,sentiment,urgency
moneygrabber want you to pay premium to choose specific date,Negative,High
do not do much different than google task which be easy to use and be free a a result i want a refund a i only realize this after my day trial refund be only give within hour of their draw their fee not sure that be legal for an automatic subscription after app trial,Negative,High
bekaar bagwas time waste useless and ask for payment before use anyway,Negative,High
useless app set up reminder during a course of day and not once receive any notification waste of money,Negative,High
this app meet my need until this late update dislike the new format to such a degree that it be a dealbreaker now i have to start from scratch research apps to find a replacement i know i use the free version so you do not care if i go but this be such a disappointment,Negative,Medium
it sync everything terrible you have to get the pro version in order to be able to do anything actually worth while,Negative,High
i do not find usefulness,Negative,Low
in the calendar of any do st of august be mark a bakr id but nd august be not mark a ganesha chaturthi be there a specific reason or be it conveniently forget developer please do respond because it depend on your response whether to buy it or not,Negative,Medium
it a good app but the app keep crash when i allow this app to add to my calendar after add it to calendar then yhis app doesnt open keep crash,Negative,High
say free and simple be not tell people it be a day free trial especially at google play store and people only know it be a day free trial after they download it so why wo not google do anything about this app developers not mention their apps have a trial period which result in people download apps for nothing p of the app be free until the trial period finish,Negative,Low
scam premium that bypass googleplay on the mobile app you can only buy year of premium while on the website a monthly payment be possible people buy the monthly more often and the developer list it on it personal website only to bypass google fee thus i need to link my card on their site too,Negative,High
this new layout be just awful just ridiculously awful i can not in any way fathom how this get a thumb up from anybody bye bye any do i m off to download something that be not design by a nine year old,Negative,High
you have to open an account with them i wo not be go there would be nice to be give the choice,Negative,Low
there be no option to delete the account if i do not find this app useful you guyz will keep my data this be against the policy and norm,Negative,High
sorry way to complicate and why would you think i want my information out on your server want to create a weekday event spend more time try to figure out how to do that than it take to write in a diary,Negative,Low
work great for a few year and then the past couple of month it eat anything add to the list i can sit and watch thing drop off before my very eyes,Negative,Low
way over price for what it do not worth it,Negative,Low
laggy response to resolve item and error in recur reminder,Negative,High
no new it be repeat app,Negative,Low
it stop work and i try to reinstall it but same problem,Negative,High
automatically show the reminder snackbar when i open other apps without me set it up what kind of violation be this stop bugging your user unsolicitedly uninstalled,Negative,High
i love this app but i do have one major gripe i want an option to buy premium once even at a high price and not a a monthly or yearly subscription edit very unhappy with developer response to pricing i want to buy premium for this great product they make but it be not a service this be not netflix you re go to turn potential buyer away with this pricing model,Negative,High
atleast make a few feature available if the customer donot like the app at initial stage than how would he she ever think about go premium,Negative,Medium
require a sign up for feature i have no interest in use but ca not opt out of,Negative,Low
do not sign up app not even on my phone this payment deduction will be report and i request you refund my money immediately,Negative,High
autofill on android do not work,Negative,Low
have charge twice but still not get premium version access,Negative,Low
have have to make an account in order to use this app there be no way around it,Negative,Low
create an account be suppose to allow you not force you uninstalled without try it,Negative,High
stop add grocery item like an ad,Negative,High
i do not get task notification anymore this app have become useless i have uninstalled and reinstall turn on allowed notification in the setting yet nothing,Negative,High
good improvement but still do not have nag or presisitent reminder i miss a lot reminder accidentally,Negative,Low
useless ring bell only one time and not a good reminder,Negative,High
have to pay to set a recur task be ridiculous and essentially make the app useless to anyone who do not want to pay so this essentially be not a free app,Negative,High
there be some issue in payment,Negative,High
too complicate i need a plan to plan task,Negative,Low
everything it expect you to pay,Negative,High
this app be useless unless you make the monthly payment in that case do exist other app free and only with the essential,Negative,High
too many feature lock behind premium,Negative,Low
omg the ui be awful seriously you have popup for premium every second there be no intuitive way see a normal calendar you have to create an account even if you do not want to the app be beautiful but show screen where it be impossible to understand what you have to do it be a calendar show a f calendar,Negative,High
be it necessary to sign up account while make a new account it be shows error oops try again later,Negative,High
i ve be use the app for a while and since last week it have be act weird i do not receive reminder anymore and it be completely a waste of time to set reminder not very reliable right now,Negative,High
while it be nice program i can justify pay for it in perpetuity that be just insane,Negative,High
have to pay for recurrent daily task which be the main purpose of that app,Negative,High
list share share be not work ux be straight from io app terrible,Negative,High
bad app i have ever use it do not do anything,Negative,Medium
first thing that happen upon opening be ask for payment good job,Negative,High
unable to register with an email clicking continue with email will just take you to a login page complete waste of time i search them first three page of google for a solution and find nothing find no solution on their help section i do not want to register with facebook or google if you include a feature make sure it actually work,Negative,High
my backup be go very important data delete,Negative,High
any forget have an instance of daily repeat event that i have mark a complete today and somehow it do skip the next day and only proceed to the day after kind of daily event with some day skip so useless to me a ca not be trust for notify about daily routine task p s do not tell me i do not know how to setup a recurring event,Negative,High
it work okay but i do not consent to subscribe at year subscription i thought i purchase it until i saw that it be renew for an additional it be definitely not worth that price very angry and rip off i get charge twice for something that i think i buy outright i will never buy anything from them ever,Negative,High
very slow app it take me min just to start the app,Negative,High
update make that be not fully test they need to add option to revert back to the olddd verison that be simple to use but most importantly it work,Negative,Low
app loding ke baad peese maang raha hai pahle bataaye data kyo kharaab karwaya,Negative,Low
ruin the app by try to get too fancy my wife have also become frustrated with it she have have it since it start and now struggle with it you should be able to add a task then go straight to set time day but instead you have all the other short cut there that really be not,Negative,High
i could not have any expirions about this app,Negative,Low
terrible app do not waste your money,Negative,High
i could not use it,Negative,Low
look like a pretty good app but it do not sync with alexa which be the main reason i instal it should not be this difficult,Negative,Medium
force you to sign up and use credential uninstalled,Negative,High
most useless app ever use very difficult to save anything or find anything put some task do not get any reminder so do not do it erase this nonsense ca not even save this review,Negative,High
it a great app but i dont receive any event notification although i have allow the notification to come through from this app i really do not understand why because i have set everything correctly,Negative,Low
under subtitle security however please note that we can not guarantee that the information will not be expose a a result of unauthorized penetration to our server sorry no thanks i just download but after read privacy policy i prefer go thru google official one app like calendar require lot of access i personally do not wan na bleach my data like this btw the tq for place the info it to let u know,Negative,High
try do all the setting a per ur guidence but app be not support popups in lock screen everytime i have to unlock my screen to check the event,Negative,Low
i hate this app as soon a i download it my phone be hang,Negative,High
monthly fee for dark mode really i could accept a one time payment for such a feature but not monthly,Negative,High
no grocery widget ridiculous the task widget be confuse i just want to be able to add stuff simply on the fly,Negative,High
this app have malware,Negative,Low
not happy app just ask me to isign in and now have delete all my previous reminder i have reminder set up for throughout the rest of this year and now i do not know what they be you ve put me off use your app now what be the point if it be not reliable,Negative,High
not make an account,Negative,Low
every service i attempt to connect gmail gtasks google calendar time out during setup oops error be day and still no reply from support device be samsung s with android,Negative,High
i dont know why people appreciate this app not user friendly,Negative,Low
time setting be so dumb fix it,Negative,Medium
no integration with create alexa list,Negative,Medium
you have to pay for all the decent feature there be nothing you want to do that your alarm do not already do,Negative,High
i dont understand how it work not very clear on how to use it and it comstantly show notification for anything i make a note of,Negative,Low
do not have option to not connect to fb google or email,Negative,Low
it be test the edge of my patience even though i have good internet connection it keep say could not find the internet connection try again later it be my first time i ca not sign in so i ca not go in to the app and plan anything already i try reinstall twice,Negative,High
please add upi feature because i try many debit card to get the premium versionof this app but any of them be accept,Negative,Medium
lose all my list when i be force to give email address be good prior to have to start all over,Negative,High
since last update i be face this problem that when i open the app one or two task get shuffle to the top then i have to put it again in the planned sequence this happen almost everytime i open the app,Negative,Medium
update make it bad be use it all the time and the recent update make it all confuse and unnecessarily graphically complex sorry have to uninstall,Negative,High
good app but i wish there be a monthly payment option for premium instead of annual,Negative,High
push to hard for premium upgrade not interested anymore,Negative,Low
ill join with my fellow reviewer and say that i be very satisfied with the app when i start use it about two year ago but since then i feel that it functionality and simplicity have be compromise especially with the new update that just make the app be interface via smartphone completely uncomfortable because i ca not see my task lay out chronologically in an organize and please way anymore,Negative,Medium
whapp integration be bad barely anything work focus to whapp integration and seeya again,Negative,Medium
it be good until they update it and take out the today someday upcoming category out which be how i organize everything,Negative,Low
widget not work everytime i check the next or previous month it d be lag and later it be just blank love the app but i really need the widget sorry,Negative,Medium
why be random item pop up on our grocery list be this your way of advertising we have purchase unnecessary item that i have never even heard of sun maid smore bite nope no one add them on i love use the app but this be very deceptive manipulate the grocery list,Negative,Medium
i like this apps but the thing be anything need to pay so sorry to do list i only give it star and it so bad,Negative,High
the app use to be great now it be intrusive i ca not get it to stop pop up and insert itself into my life uninstall,Negative,High
google login not work at all tried account get stick at set up,Negative,High
with the recent upgrade the phone app arbitrarily delete thing off my to do list or move them around without me do it the app on my desktop be now slow than molasses it work great until the upgrade,Negative,High
tarefas task somem sozinhas e atrasam nos horrios em demais semanas pr definidas a ideia do aplicativo boa ma esses problemas o torna praticamente intil invivel utilizao,Negative,Medium
it ok i guess,Negative,Medium
the app be great until i suddenly lose all my data i go to launch it after close it minute ago and everything be go i have so many task and note in it,Negative,Low
app should not enforce sign in for use uninstalled waste of time edit that sound like optional functionality for an app label to do list not a complete blocker to use the app for a simple i need to make a quick note to remind myself of later this be not very good,Negative,High
not what be expect,Negative,Low
useful app but it just beep pop up a notification advertise some new feature i consider that spam that be why you re get the star,Negative,Medium
first day of download it it drain my battery in h both phone and watch battery go back to normal once i uninstalled it please fix that guy so we can use the app,Negative,High
perhaps the least user friendly app on playstore my head be spin why be it so hard to edit the time of reminder,Negative,Medium
the last update remove grid view and leave u with a very odd task interface,Negative,Medium
this be not free pay one some feature be limited till pay,Negative,High
upon make a task setting time and date by type them have become absurd the app understand what it want and act by itself what do you mean use natural language,Negative,Low
update on bad update ever be moderately ok until august update app totally dewastated now it be even lag like hell not even able to strike down a task after do it in one touch,Negative,Medium
app be good i be use it since month now but now a day automatically shutdown whole working,Negative,Medium
get into the help menu by accident ca not get back to my list,Negative,Low
i use this app every day for year but just uninstalled and change to a different to do list app because of the new layout the grid be much easy to use and good look,Negative,High
i have buy it yet it display error in verify my whatsapp integration,Negative,High
a lot of basic feature lock away behind a pay wall not very customisable imo not the right to do list app for me,Negative,High
ok it be good app but all the good feature be in premium no use of download if i m not satisfy why would i pay for a premium one,Negative,High
it duplicate event often with the incorrect time and delete event i invite other to very aggravate,Negative,High
constant prompt for trial and upgrade super annoy,Negative,Medium
beautifully design interface but very click baity pushy i would not recommend,Negative,High
bare bone integration be a lie you have to use a third party app to make it work and zapier be garbage grocery list be kind of cool calendar have that annoy apple style slide that hide even and be impossible to read instead of traditional block support button be for bug fix only so premium support be also a lie,Negative,High
i m experience issue with the reminder option whenever i set a reminder i get neither the notification or the popup which a a result make me forget thing this issue be not there before what can be do to solve this,Negative,Low
rimnder alram ka bhi option h ya nhi,Negative,Low
love this app but i prefer write thing down,Negative,Low
ordinary update delete reminder,Negative,High
why pay for such simplicity,Negative,High
for an app that be mean to help me organise my time more effectively i do not expect it would take the long time to boot up compare to all the utility apps on my device really nice ui though,Negative,Low
why so expensive microsoft task or reminder offer most of the feature that this app have could you please decrease the price a little bit or give me some discount atleast for the first year,Negative,Medium
i like it at lot but it seem like recently this v thing be take out my battery hog memory and use data more than chrome which i use constantly until someone can help me figure this out or if this high usage of phone resource be normal i ca not rate it any high i might even have to remove it and search for an alternative,Negative,Medium
ca not repeat task at custom interval,Negative,Low
it stop show reminder and notification,Negative,High
uninstalled i want a simple reminder app that will put a daily notification in my notification bar every single day nothing else no other feature but this be so bloated with feature it be impossible to know if it might do this or not,Negative,High
could not get the hang of it i want something simple and cheap to remind me of birthday and dog to vet etc,Negative,High
too annoy premium advertising darkmode be premium only,Negative,Medium
the app be an okay task organizer at best although it require internet and be ride with add and paywalls for a monthly premium subscription even if they ask for support id prefer a one time payment of a high amount like to unlock all feature,Negative,High
use to be good but now do not even notify me and yes this be with the setting amend accordingly,Negative,Low
some of the sentence on my list go off the screen so we need an option to wrap the text when it reach the right side of the screen a of june i can not sign on anymore use samsung galaxy after upgrade to android software a of i never do get any do to work on my samsung galaxy s but it now work on my samsung note,Negative,Low
i like it because of plan a tree cz i really need it but it be expensive soo k bye,Negative,Medium
the update be annoy i want to add time on the list but you just add time tag feature which make the time that i put not be display,Negative,Medium
laggin can not open tq,Negative,Medium
recur reminder be available for free in google reminder you ca not monetize the basic function,Negative,Low
for me it frequently stop sync i currently ca not get it work again but when it be work it be great,Negative,High
doesnt work on window,Negative,High
use to love this app after the late update it garbage ca not turn off the automatic date time thing that erase what you put in and send it to that date or time will hang onto it for a bit in hope that a new update will fix this issue or at least give the option to turn it off,Negative,High
the website boast that any do be the best grocery list app for android wear lie there be no way to view list on android wear only add task you can view list on apple watch this be the feature i need and i guess i ll look elsewhere,Negative,Medium
reminder do not pop up on time or in some case do not pop up at all,Negative,Low
i love use this app however when i instal it to one of my phone i can not login to it it just keep closing i do not know what be wrong also i wish the widget would contain date and time of the task not just tick mark,Negative,High
not the bloody annoy calendar task widget thing again you do this once before i do not want to use your calendar just the task list so please bring back the option of a widget without the calendar option write at the top will use an alternative until i see anydo have be update,Negative,Medium
paywall even for dark theme very disappointed,Negative,High
not yet solve can not log in,Negative,Low
i need this app to share task real time with my significant other unfortunately when she be add task from io sometimes they do no show up for me switch to microsoft to do and no problem additionally be able to paste multiple cell from excel make ms offer indispensable something i would sorely miss if i return to any do,Negative,High
it ca not adjust task with real time line,Negative,Low
i actually love this and have use this for a year but the new update be no good at all that i need to edit my review due to the change,Negative,High
whuup sorry need to pay for unlimited daily task nope,Negative,High
free version be very limited compare to ticktick and microsoft to do,Negative,Low
i ve enjoy use this app since i get it two week ago until recently when it begin crash when i d add task,Negative,High
i mean the app start seem really nice and have a lot of work put into it but here me out if your look for a app that be free and dont want to spend for daily reminder this be not it but if you dont mind pay like this your app and with that dollar you can get cool extra stuff,Negative,High
a mess of feature that do not serve me cumbersome ux,Negative,Medium
i have cancel my subscription an amount of r have be deduct from my account kindly refund the same i m not interested in the app,Negative,High
this app always put the thing i have not do to the next day i do not like this it should be stay at there if i do not finish the work nor help me move to the next day and ask me to do it if i do not finish it i ll continue the work tomorrow i do not need you to help me move the task to the next day it be annoy,Negative,Medium
lose another star for your reply to my previous comment i like the moment notification i like plan my day i hate the dumb sound i ca not turn off for every item i snooze,Negative,High
i m sure the app be great see all the positive review not have earn but have dark mode be ba premium feature be a deal breaker for me because i would like to extensively test a product before consider a premium subscription but i ca not get to use an app that force light mode why all of my other apps be dark,Negative,High
you can t manage it easily per day the interface be not clear when i click on a day i want to say only that day agenda not others around it when i add a task it doesn t show me in which day be add i have at least ten idea to improve they contact me i will uninstall it for now i submit few complaint but there be more,Negative,High
important feature lock behind a pay wall,Negative,High
a suspicious app do not recommend this application,Negative,Low
poor widget option which be what i need most very space inefficient and not customizable at all disappointing todoist have the most compact and useful widget follow by microsoft todo,Negative,High
keep lose mini step after i write them down,Negative,Low
estou tendo dificuldades com alguns bug,Negative,High
there be a issue with note for as long a i can remeber you sometimes add a note and it be go later i keep have to go out and come back each time i add one in hope it be save,Negative,Low
i like the app but the fact that there be lot of other apps that can do the same thing it be imo ridiculous to charge a monthly fee they justify it by say it be a service blabla it be an to do app more people would actually pay for it if it would not be a subscription model,Negative,High
do not show empty hour like gcalender also ask me to subscribe from the get go,Negative,Low
we dont use it like at all it not that different from your regular phone calendar i d actually like a refund do not even realize i be charge,Negative,High
nice polish but useless there be no filter for tags web and app synch problem happen miss task not any score system may good for amateur but not for project manager however i like the calendar view,Negative,High
there be certain thing i love like the fact that it sort my grocery list by aisle automatically but overall this app stress me out i just want an app that allow me to share my grocery list but the grocery list seem bury in an area that be not intuitive i do not need something to schedule every second of my life which seem to be more this apps aim,Negative,Low
you reaaallllyyy do not have a lot without pay,Negative,High
ca not add more than task to calendar without monthly fee,Negative,Low
the design be nice but it do not understand when i say later when i say remind me tomorrow morning it reply okay i ll be remind tomorrow at that be afternoon i ll be very well roast by my bos by then ca not find any help on these issue be close to confirm my subscription sad,Negative,High
be there no way to assign a specific color to an event i like to group my meeting by color if i ca not do that the app be not useful for me,Negative,Low
try to set a reoccuring event change the date to one day before what i set it a try to change the date back just create a second event then try to delete both event take several try because half the time they do not actually delete this be really annoy,Negative,High
weak and underdeveloped platform do not expect support to treat you like a person this be a company that just want your money and then to forget about you,Negative,High
recur task be very glitchy they sometimes change the day or time when they recur per any do be request i send them a video of this happen cricket no explanation or acknowledgement and no refund a i request fine otherwise but i rely on recur item,Negative,High
miss grocery list widget and quantity for grocery list item,Negative,Low
nest can be improve,Negative,Low
it be a fine app but log me out every other time i go to use it,Negative,Low
hi developer need to improve note module it fix only for protrait view which be when i m use landscape view tablet with keyboard i need to adjust my head or the gadget tq,Negative,Medium
recur task be behind a pay wall ridiculous to have to pay a monthly subscription for such a simple feature app be a little ugly and not customisable,Negative,High
theme and location base reminder be under subscription both be free on most of apps like this thanks but no i ll pas and keep use google keep,Negative,High
not so great the user interface be not friendly make the to do list take far too long and theres no way that i find to make a list that repeat daily i ll just stick to google keep,Negative,Medium
strange thing when i mark recurrent task a do in web desktop version into the upcoming section,Negative,Low
notification be now pathetic shame i like it a lot i think it time to jump ship it be be fun,Negative,High
after all this time you still can not search task on android so you have to look through every task you have create and through each list to find what task you be look for go down to star,Negative,Medium
muito limitador pra quem no paga pra usa e nem to vom assim,Negative,Low
it use to be a slick minimal app that do what it need to then they keep add layer of unneeded feature and forced people to make an account just to use it no thanks,Negative,High
todo,Negative,Low
no monthly recur reminder feature ca not even remind me when to pay the bill,Negative,High
have to create an account just to check out functionality do not want to do that uninstalling,Negative,High
how do i unsubscribe this useless app,Negative,High
update use to be great now they ve add so many step it be no longer the simple app it use to be very disappointed,Negative,Low
i can t select weekly day which day i need remainder and this drawback of app best to go with other app,Negative,Low
uninstalled after late update and it block all my list until i set up an account no thanks,Negative,High
the not complete task do not carry over to the next day automatically i want an app that would constantly flash incomplete task in my home screen otherwise presentation of the app be good,Negative,Low
very average app not intuitive will probably spend more time try to plan than do,Negative,Low
i dont liek it rlly,Negative,Low
premium version be too much expensive any do should provide an option in which we can select max to apps for integration in premium version pay accordingly,Negative,High
look really good but i m not go to pay a subscription for it sorry if you say one off payment then maybe most of the locked feature be available in other product out there,Negative,High
well design and all however alot of the crutial feature be lock behind the premium which u need to pay for,Negative,High
unable to edit time for reminder s,Negative,Low
cant really set custom remindere for example i need to be able to check a specific system every hour with other variable cant do it,Negative,High
could have be a good free app nice design good idea but the free version keep forget the task alarm i configure i put it at but it reset it at do not know about the paid one,Negative,High
hi there i would like to know if this application be for free or do i need to pay for it thank you for your answer,Negative,High
i want to discontinue and it be monthly base they charge me yearly it be very sad pls help and refund,Negative,High
it sorely need and undo backup restore revert feature in case we accidentally touch swipe a circle bullet which then get unintentionally delete immediately which i find incredibly frustrate it also need a flexible feature to import export other common text data format like csv xml event to from calendar not just copy reminder to task if google fix all that then i d give it star,Negative,High
i love this app but recently the app keep crash everytime i enter plus the calendar be completely wrong,Negative,High
no dark theme without a premium subscription ok,Negative,High
it be very simple and it be interface be so beautiful why do i put star then because most of it feature be limit to the pay edition even the important one,Negative,High
look like a copy of an iphone app im not impress by the huge bar in the bottom or the single color ui a night mode should come standard,Negative,Medium
there be no sound,Negative,Low
too much spam stuff that i do not care for pop up on my screen all the time and block those also block the reminder i want the app for also too many email i do not want more clutter to organize my life,Negative,Medium
i dont like how it charge me automatically after the free trial without inform me expiry of trial or if i want to subscribe to the pay service,Negative,High
not a great user interface have be use for almost month but still struggle,Negative,Medium
do this app work without internet connection also,Negative,Low
gaada waktu kapan harus selesai jadi kurang detail,Negative,Low
over all good task manager but i do not like mislead and untrue boast about integration with ms outlook it be possible but only via zappier plus functionality be limit not possible to sync task between this apps,Negative,Medium
share do not work there be a permanent notification and everything be premium option even the theme,Negative,Low
good until it start want money for do it job,Negative,High
pretty with nice add ons and integration but more than once i ve go back to a long list i create to find it go or revert back to a very old version so annoy do not need the song and dance this app offer if it ca not save a basic list,Negative,Medium
i be about to jump wholeheartedly into use this app it integration with google calendar be exactly what i m look for but now i see that it have no search feature on android bad still android search have be on their roadmap since and it be still not do in the meantime other apps can build smart list it out of tag status and free text seriously behind the curve guy,Negative,Medium
wear o app only support add task not view exist one without reminder,Negative,Low
download the app but package file be invalid error pop up before complete installation,Negative,High
it be very confusing i get the calendar app that be suggest to me when i want to use the widget but once i start use the calendar along with any do the task notification get duplicate i do not see the point of have any do when the calendar app do the same thing,Negative,Low
so far so good bit expensive have to purchase a yearly basis to access basic function a color tag and what come with it translation to greek be not fluent for the price tag annually i would apprechiate developer look close at them will give it a try before commit on purchase it per year on a positive note love the widget use however nova launcher current rating will change base on the experience,Negative,High
too whack for create list like grocery or to do with their task and subtasks instead of just list you can check complete,Negative,Low
i m a student and be look for something get myself very organize i have try series of productivity apps before apparently this have one of the feature i have always be look for integration with other apps which i love two thing i find disappointing feature be extremely limit without premium it be almost impossible to use like that also very expensive i could not find statistic from totally hour and other report,Negative,High
there should be a dark mode instead of set through a premium theme option,Negative,Low
i like use this app but i recently notice that important information i have save in sub task have all be delete it happen before and i think i have make a mistake but no it be just this app malfunction,Negative,High
many time i ve put sub task on my to do task and they just disappear for some reason i ve forgotten many thing because of this and still have not be fix despite various update,Negative,Medium
app not bad but very limited unless you pay download this app after read in the news about it be whatsapp integration that be only available if you pay without the paid for aspect this application be like any other generic calender app,Negative,High
i dont like that it require you to login why cant i just use it without log in my account,Negative,High
questionable experience upgrade to premium but whatsapp integration be not work seem a little confusing,Negative,Medium
zero feature in free version,Negative,Low
good share task but app itself make me angry it keep forget i be log in with my google account so i need to login for like each two week or so and it also forget my setting edit unfortunately this have not be fix yet even though i have send log and communicate with you decrease my rating,Negative,High
i can not figure out how to get it on my galaxy watch ugh,Negative,Low
when you switch the language you get wierd bug that your app be half in english half in select language,Negative,High
i be give this premium app now with new version be not update i fail to understand this if i m give premium version then now why would not it get update if it be non upgradable then why be it give it be a great app and so it hurt when there be such trick use on customer,Negative,Low
useful a a to do list set a real annoying plan your day popup reminder every morning how you disable it be non obvious uninstalled,Negative,High
reminder feature be not work,Negative,Low
allow all the permission for this app but i still ca not get the reminder to work on my smartphone run android download a different reminder app and also allow all permission for it and it work well,Negative,Low
